Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
134,2,1666.3064553895333,55.230225667357246,12.518999999996694,3.5,2.2666666666666666,86.9,65.98999999999405,1.5,3.0,1144.5
135,2,1678.8384915310098,53.220894961567524,18.250666666663072,3.5,2.2,100.53333333333333,63.9879999999944,1.5,3.5,1274.5
136,2,1674.2820509076328,46.41798988800916,17.51733333332976,4.5,2.1,98.86666666666667,59.98599999999448,2.0,3.0,1200.0
137,2,1566.3587536485143,80.56400547684093,12.812999999996528,3.5,2.9,87.1,93.93099999999404,1.0,3.0,1200.0
138,2,1391.1939729894248,116.28859787382433,18.659999999996373,5.5,3.7333333333333334,99.2,130.9739999999947,0.0,3.0,1200.0
139,2,1400.1299421664803,127.09969092137734,18.742666666663027,4.0,4.033333333333333,102.73333333333333,154.54399999999458,0.5,3.0,1200.0
140,2,1352.556735222582,131.36204950102857,15.437999999996487,5.0,4.066666666666666,91.8,155.38999999999453,0.0,3.0,1200.0
141,2,1335.9206113490206,135.90925623436195,16.567999999996417,4.5,4.333333333333334,96.2,152.84899999999516,0.0,3.5,1231.5
142,2,1341.0648832074571,125.13152717490993,16.817666666663136,5.5,4.0,93.63333333333333,150.1099999999946,0.5,3.0,1200.0
143,2,1330.6679472423987,139.06038670888756,20.22099999999636,4.5,4.266666666666667,103.30000000000001,166.37399999999505,0.0,3.5,1210.0
144,2,1323.5926852598884,137.5217360769106,20.90466666666326,5.0,4.266666666666667,105.53333333333333,171.67499999999436,0.5,3.5,1217.0
145,2,1474.5849984436359,111.26607293109446,20.33866666666312,3.5,3.5999999999999996,106.53333333333333,132.89399999999395,0.5,3.5,1236.0
146,2,1384.942789833263,136.89049119179592,15.633666666663078,3.5,4.233333333333333,96.43333333333334,162.00199999999447,0.0,3.5,1360.5
147,2,1293.9514134979952,136.15817415217978,16.981999999996543,5.5,4.133333333333334,90.6,165.64299999999372,0.0,3.0,1200.0
148,2,1334.4061300940484,130.21578734220432,13.3069999999964,5.5,4.0,84.9,155.5599999999938,0.0,3.0,1200.0
149,2,1303.520907012278,136.9401642756262,15.22866666666307,5.0,4.5,93.33333333333334,155.5439999999955,0.5,3.5,1272.0
150,2,1245.738389091063,147.31493588241614,14.659333333329862,6.0,4.533333333333333,88.06666666666666,174.5999999999957,0.0,3.0,1133.0
151,2,1398.0521932064303,135.93684120702045,19.636999999996434,3.0,4.166666666666667,104.7,162.7409999999938,0.0,3.5,1210.0
152,2,1435.5323599041626,114.4844715960472,16.96766666666313,4.0,3.7666666666666666,97.83333333333334,132.62399999999394,0.5,3.5,1250.5
153,2,1341.9406521675105,144.50492230805975,18.119999999996438,3.0,4.6,101.80000000000001,162.37399999999505,0.0,3.5,1262.5
154,2,1359.2405669975712,145.15044864647132,20.421333333329642,3.5,4.4,106.66666666666667,176.1239999999953,0.0,4.0,1232.5
155,2,1262.0319333602558,161.4288950270187,19.452666666663077,3.5,5.033333333333333,104.33333333333334,187.23499999999666,0.0,3.5,1228.5
156,2,1348.4219052332821,138.2125836915857,18.086333333329826,4.5,4.333333333333333,101.36666666666667,169.61999999999506,0.5,3.0,1200.0
157,2,1461.7138933865128,125.00167431906476,19.673333333329545,3.0,3.9,106.66666666666667,145.57199999999438,0.0,4.0,1405.5
158,2,1302.3454229008582,158.03079118835703,20.013333333329605,3.5,4.833333333333333,106.66666666666667,188.7219999999945,0.0,4.0,1277.0
159,2,1310.5802925500184,147.5182418204769,19.087666666663047,3.0,4.666666666666667,101.03333333333333,167.2389999999957,0.0,3.5,1264.5
160,2,1210.027555339027,156.69664289729133,16.572666666663075,4.0,5.133333333333333,93.33333333333334,166.70699999999516,0.0,3.5,1259.0
161,2,1095.4193350019993,189.23935881636584,15.723333333329812,5.0,5.866666666666667,93.46666666666667,218.75499999999698,0.0,3.0,1200.0
162,2,1086.1299818425805,205.6183818400477,17.77099999999647,3.0,6.4,102.5,235.9429999999984,0.0,3.5,1225.5
163,2,967.0952593508791,219.200207945894,19.29766666666305,3.5,7.133333333333333,106.43333333333334,233.3979999999982,0.0,3.5,1256.5
164,2,1085.3102639393167,190.28134857335152,19.81333333332971,4.5,6.0,103.06666666666666,214.0809999999976,0.0,3.5,1216.0
165,2,1064.064710160722,202.11757012511842,19.357333333329613,4.0,6.433333333333334,106.66666666666667,224.3439999999989,0.0,4.0,1274.0
166,2,1095.8487216816854,191.31012240703032,18.21766666666312,4.5,5.966666666666667,100.03333333333333,219.35599999999744,0.0,3.5,1243.0
167,2,920.6288851856362,215.7849596028313,16.411333333329754,4.5,6.966666666666667,92.26666666666667,233.23399999999867,0.0,3.0,1200.0
168,2,1032.6426242952957,211.2890620956262,16.35833333332975,3.0,6.666666666666666,97.56666666666666,237.85499999999865,0.0,3.5,1204.0
169,2,1095.442510019419,198.72173854476375,18.315666666663073,2.5,6.4,104.03333333333333,215.74599999999802,0.0,3.5,1303.0
170,2,1284.2703266465437,167.03404128917904,17.152999999996418,3.0,5.066666666666666,101.30000000000001,200.14599999999618,0.0,3.5,1257.0
171,2,1306.990634161635,164.52092385306457,18.086666666663092,3.0,4.9,103.33333333333333,203.62899999999496,0.0,3.0,1200.0
172,2,1222.297062620931,172.39775819855097,14.724666666663065,3.5,5.3,93.33333333333334,202.58499999999628,0.0,3.5,1307.0
173,2,1210.7878392343468,179.26313315202302,17.371666666662982,2.5,5.566666666666666,100.63333333333333,207.780999999996,0.0,3.5,1305.5
174,2,1374.8992029343895,146.25357408205298,18.77333333332971,2.5,4.566666666666666,106.66666666666667,168.60899999999435,0.0,4.0,1282.5
175,2,1248.9553261714068,160.064269957414,21.07333333332955,4.5,4.9,106.66666666666667,190.09399999999576,0.0,4.0,1348.0
176,2,1379.6314696097963,136.5290753228776,20.25399999999628,4.0,4.133333333333333,105.4,164.39699999999385,0.0,3.5,1298.0
177,2,1227.5850424074097,165.41868168864278,20.919333333329636,3.5,5.2,106.66666666666667,188.01499999999567,0.0,4.0,1368.0
178,2,1266.4634491675233,155.55087553138296,20.325333333329674,4.5,4.866666666666667,106.66666666666667,178.6969999999958,0.0,4.0,1278.5
179,2,1378.3957929491448,132.01657630644897,18.833333333329676,4.0,4.133333333333333,101.86666666666667,161.52499999999458,0.5,3.0,1200.0
180,2,1178.5434050079289,169.96925206159722,16.561999999996466,5.0,5.233333333333333,94.8,199.36999999999622,0.0,3.0,1200.0
181,2,1277.2203461169036,159.18219464305577,19.673333333329623,4.0,4.933333333333334,106.66666666666667,185.73399999999472,0.0,4.0,1335.5
182,2,1404.3124503662,135.0174343529242,11.784333333329894,3.0,4.1,85.96666666666667,162.73799999999494,0.0,3.0,1156.5
183,2,1404.7820406672245,142.48228309970852,19.459333333329667,2.5,4.333333333333334,106.66666666666667,171.53699999999503,0.0,4.0,1280.0
184,2,1375.3703054648142,138.02254767613925,19.670666666662974,4.0,4.266666666666667,106.13333333333333,162.1729999999945,0.0,3.5,1345.5
185,2,1382.6429333763201,130.2307345714326,17.29099999999643,3.5,4.1,96.7,148.87699999999447,0.0,3.0,1200.0
186,2,1343.0664288064306,139.80950893790552,16.05533333332987,3.5,4.333333333333333,93.26666666666667,163.74899999999386,0.0,3.0,1200.0
187,2,1317.682271832143,139.9455387917484,16.45766666666308,5.5,4.300000000000001,95.03333333333333,165.3379999999947,0.0,3.5,1285.5
188,2,1118.2057947437925,178.60766910533277,17.659333333329677,5.0,5.7,98.46666666666667,197.03099999999677,0.0,3.5,1352.0
189,2,1441.4495870726082,106.9157601200048,17.8179999999964,5.5,3.3666666666666667,96.6,121.9999999999932,0.0,3.0,1200.0
190,2,1440.1033445141209,128.99601720872627,20.009333333329657,3.0,3.933333333333333,106.66666666666667,154.90999999999386,0.0,4.0,1313.0
191,2,1408.9130878213377,116.57237611210931,13.162666666663227,4.5,3.7333333333333334,86.33333333333334,129.1999999999939,0.0,3.0,1200.0
192,2,1399.3082620852233,129.4523562881014,19.593999999996363,4.0,4.0,103.80000000000001,152.2079999999939,0.0,3.5,1259.5
193,2,1324.6559659528987,131.83069598671372,12.839333333329957,5.5,4.0,82.26666666666667,159.99999999999318,0.0,3.0,1153.0
194,2,1326.4683367018222,142.308867192076,14.634333333329995,4.5,4.266666666666667,89.56666666666666,174.9319999999937,0.0,3.0,1174.0
195,2,1427.8959666563476,132.0012167740642,15.287666666663078,3.0,4.033333333333333,95.43333333333334,158.70099999999428,0.0,3.5,1262.5
196,2,1359.0432098826504,133.08933393096058,16.176666666663152,4.0,4.133333333333333,93.33333333333334,155.34499999999457,0.0,3.5,1201.0
197,2,1302.7341818144216,167.11989953872842,15.016333333329804,2.5,4.966666666666667,95.76666666666667,205.79799999999673,0.0,3.5,1281.0
198,2,1361.246557856777,130.19725856803956,16.70066666666308,5.5,4.033333333333333,96.93333333333334,151.40899999999374,0.0,3.0,1200.0
199,2,1356.62942618037,145.39801943242065,19.70966666666297,4.0,4.4,106.43333333333334,175.46199999999493,0.0,3.5,1210.0
